"","estc_id","title","sum","n"
"1318","T119358","Self-Knowledge",1532,2
"1319","T119376","Chinese tales",9980,4
"1320","T119382","Cato",1597,4
"1321","T119399","The correspondence of Theodosius and Constantia",11069,6
"1322","T119422","The muses choice",3030,1
"1323","T119423","Histories, fables, allegories and characters, selected from the Spectator and Guardian",96104,57
"1324","T119426","Miscellaneous tracts",1956,2
"1325","T119462","Fables of Æsop and others: translated into English. With instructive applications ; and a print before each fable. By Samuel Croxall, D. D. Late Archdeacon of Hereford",1135,2
"1326","T119472","A short introduction to English grammar",1278,7
"1327","T119506","The guardian. .",2162,2
"1328","T119514","A father's legacy to his daughters",84,1
"1329","T119646","The polite lady",276,3
"1330","T119656","Poems on several occasions",93,1
"1331","T119665","An essay on punctuation",469,3
"1332","T119887","The world",394,1
"1333","T119894","The royal English-Danish grammar",6622,7
"1334","T119896","A father's legacy to his daughters",83,1
"1335","T119911","The death-Watch",1855,4
"1336","T119924","The lady's preceptor",62,1
"1337","T119931","Dionysius Longinus on the sublime",456,1
"1338","T119932","Dionysius Longinus on the sublime",457,1
"1339","T119955","The moral miscellany",187844,96
"1340","T119965","Miscellanies: literary, philosophical and moral. Vol.I. Containing, I. Observations on the Literature of the Primitive Christian Writers. II. Reflections suggested by the Character of Pamphilus of Caesarea. III. Hints respecting the State and Education of the People. IV. Thoughts on the Origin of Human Knowledge, and on the Antiquity of the World",1491,5
"1341","T119967","The moral miscellany",95894,21
"1342","T119978","London courtship; or, a new road to matrimony. Consisting of original letters which passed between a celebrated young lady of the City of London and several of her suitors",316,2
"1343","T120089","The true oeconomy of human life",65,1
"1344","T120121","A rhetorical grammar",18379,64
"1345","T120154","The art of rhetorick laid down in an easy entertaining manner, and illustrated with several beautiful orations from Demosthenes, Cicero, Sallust, Homer, Shakespear, Milton, &c. Being the sixth volume of the Circle of the sciences, &c. By the King's Autharity",1122,2
"1346","T120172","P. Ovidii Nasonis Metamorphoseon",158,2
"1347","T120204","The principles of natural law",841,2
"1348","T120207","The english garden",183,1
"1349","T120209","The distrest mother: a tragedy. As it is acted at the Theatre-Royal in Drury-Lane, by His Majesty's servants. Written by Mr. Philips",301,1
"1350","T120219","A pretty book for children",3717,1
"1351","T120221","The mosaic creation",670,1
"1352","T120222","The renowned history of Primrose Prettyface",9184,10
"1353","T120253","The parental monitor",1283,1
"1354","T120272","The tell-Tale: or, anecdotes expressive of the characters of persons eminent for rank, learning, wit, or humour",10301,25
"1355","T120316","A general and true history of the lives and actions of the most famous highwaymen, murderers, street-robbers, &c",172,1
"1356","T120384","Domestic medicine",175,1
"1357","T120394","Thoughts on religion",577,2
"1358","T120443","The pleasing instructor",140381,50
"1359","T120447","Exercises to the rules of construction of French speech",540,3
"1360","T120467","Essays and observations on the following subjects",1134,1
"1361","T120557","A short introduction to English grammar: with critical notes",2521,18
"1362","T120619","A collection of visions and allegories: selected from the most eminent authors",32560,9
"1363","T120650","A french grammar on a new plan",382,1
"1364","T120676","Reflections on religion",281,1
"1365","T120761","The pleasing instructor",152385,55
"1366","T120768","A practical grammar of the English tongue",88,1
"1367","T120878","Madam Johnson's present: or, every young woman's companion, in useful and universal knowledge. Digested under the following Heads: I. Spelling, Reading, Writing, and Arithmetick, taught without the Help of a Master. II. The Compleat Market-Woman. III. The Cook's Guide for dressing all Sorts of Flesh, Fowl and Fish. IV. For Pickling, Pastry, and Confectionary. V. An Estimate of the Expences of a Family in the middling Station of Life. VI. The Art and Terms of Carving Fish, Fowl, and Flesh. Vii. A Bill of Fare for every Month in the Year for Dinner and Supper, and also for extraordinary Occasions. Viii. The Young Woman's Instructor for the right Spelling of Words used in Marketting, Cookery, Pickling, Preserving, &c. &c. &c. To this edition are added, some plain and very necessary directions to maid-servants in general, and several useful Tables: Which renders it the Completest Book of the Kind ever published. The Compiler, Madam Johnson, in order to make this Book come as cheap as possible to the Purchasers, has, out of her Benevolence, fixed the Price at 1 s. 6 d. Bound; though it contains double the Quantity that is usually sold for that Sum",1062,7
"1368","T121002","The prisoner's advocate, or, A caveat against under sheriffs, and their officers; jayl-keepers, and their agents",312,1
"1369","T121058","A treatise on pasturage",408,1
"1370","T121072","Garden inscriptions",578,3
"1371","T121145","The Guardian. .",1368,1
"1372","T121194","Chambaud improved",530,3
"1373","T121342","The instructive letter-writer",7918,5
"1374","T121347","The accomplished tutor; or, complete system of liberal education",14119,27
"1375","T121366","An inquiry into the human mind",513,1
"1376","T121412","A collection of English prose and verse",57375,18
"1377","T121515","Hygiasticon: or, a treatise of the means of health and long life. Written originally in Latin, by Leonard Lessius. Now rendered into English, by T. Smith. Whereunto is annexed, Cornaro's Treatise of the benefits of a sober life",884,2
"1378","T121516","A poem on the last day",21592,8
"1379","T121640","The letters of Pliny the Consul",208,2
"1380","T121685","The dignity of human nature",542,1
"1381","T121686","Gleanings through Wales, Holland and Westphalia",1510,6
"1382","T121703","A new and general biographical dictionary",1787,3
"1383","T121756","Cato",1597,4
"1384","T121838","Discourses on several important subjects",304,2
"1385","T121883","The principles of natural and politic law",820,1
"1386","T121928","A collection of thoughts, moral and divine",2898,2
"1387","T121937","Self-Knowledge",1528,2
"1388","T122013","Des effets de la violence et de la modération dans les affaires de France",146,1
"1389","T122067","The universal family physician, and surgeon",177,1
"1390","T122263","More work for Mr. John Wesley: or, a vindication of the decrees and providence of God from the defamations of a late printed paper",1285,5
"1391","T122315","Books lately printed for J. Pemberton",416,2
"1392","T1224","Awful providences, calls to repentance",967,4
"1393","T122612","The lives of the most eminent English poets",357,2
"1394","T122631","Madam Johnson's present: or, every young woman's companion, in useful and universal Knowledge. Digested under the following Heads: I. Spelling, Reading, Writing, and Arithmetick, taught without the Help of a Master. II. The Compleat Market-Woman. III. The Cook's Guide for dressing all Sorts of Flesh, Fowl and Fish. IV. For Pickling, Pastry, and Confectionary. V. An Estimate of the Expences of a Family in the middling Station of Life. VI. The Art and Terms of Carving Fish, Fowl, and Flesh. Vii. A Bill of Fare for every Month in the Year for Dinner, Supper, and also for extraordinary Occasions. Viii. The Young Woman's Instructor for the right Spelling of Words used in Marketting, Cookery, Pickling, Preserving, &c. &c. &c. To this edition are added, some plain and necessary directions to maid-servants in general, and several useful tables: Which renders it the Completest Book of the Kind ever published. The Compiler, Madam Johnson, in order to make this Book come as cheap as possible to the Purchasers, has, out of her Benevolence, fixed the Price at 1 s. 6 d. Bound; though it contains double the Quantity that is usually sold for that Sum",1127,6
"1395","T122800","The tusculan disputations of Marcus Tullius Cicero",256,1
"1396","T123007","Travels through Cyprus, Syria, and Palestine",195,1
"1397","T123010","An historical and critical account of the most eminent classic authors in poetry and history",340,2
"1398","T123050","The roman history, in a series of letters, from a nobleman to his son. .",140,2
"1399","T123086","An essay towards a practical English grammar",1636,5
"1400","T123095","The royal English grammar",53,1
"1401","T123096","The rambler",648,2
"1402","T123206","Tableau des Révolutions des états",277,2
"1403","T123215","The moral miscellany",96215,22
"1404","T123237","Essays and treatises on moral, political, and various philosophical subjects",109,1
"1405","T123247","D. Junii Juvenalis et A. Persii Flacci Satyr?",161,1
"1406","T123356","Macleod's History of witches &c",450,2
"1407","T123363","A practical grammar of the English language",1584,12
"1408","T123373","The distrest mother",313,1
"1409","T123388","Thoughts on hunting",270,2
"1410","T123506","The satires",172,1
"1411","T123510","The satires",152,1
"1412","T123514","D. Junii Juvenalis et A. Persii Flacci Satyræ",163,1
"1413","T123515","D. Junii Juvenalis et A. Persii Flacci Satyræ",164,1
"1414","T123539","The satires",159,1
"1415","T123545","Hebrew made easy",1395,2
"1416","T123567","Proposals for printing by subscription, Moreh 'ilem letalmidim The students mute preceptor. In four volumes octavo: under the four following titles",1392,3
"1417","T123572","London: a poem, in imitation of the third satire of Juvenal",70,1
"1418","T123696","Select Psalms",1868,7
"1419","T123714","A collection of hymns and spiritual songs",676,2
"1420","T123716","Psalms and hymns for the use of the chapel of the Asylum for Female Orphans",1806,4
"1421","T123717","Psalms and hymns, for the use of the chapel of the Asylum for Female Orphans",2441,5
"1422","T123732","Hymns for Christian worship",602,2
"1423","T123733","Psalms and hymns, selected for the use of the parish-church of Boston",2326,7
"1424","T123759","An abridgement of Dr. Watts's psalms and hymns",1962,2
"1425","T123762","Psalms and hymns for divine worship",3151,6
"1426","T123764","A selection of psalms and hymns",2659,12
"1427","T123776","The lounger. A periodical paper",427,2
"1428","T123780","Select psalms printed for the use of the parishes of Martlake & Putney",442,1
"1429","T123787","The idler",238,2
"1430","T123792","Elfrida; or, paternal ambition",51,1
"1431","T123798","Select portions of psalms",2016,7
"1432","T123806","Sermons on various subjects",1455,5
"1433","T123811","Psalms and hymns for the use of the Chapel of the Asylum for Female Orphans",2446,5
"1434","T123830","Letters on the improvement of the mind",380,1
"1435","T123844","Flora's banquet",600,6
"1436","T123847","A pocket hymn book, designed as a constant companion for the pious. Collected from various authors",1546,4
"1437","T123848","A collection of hymns adapted to public worship",1251,5
"1438","T123999","A collection of psalms and hymns",2207,5
"1439","T124017","A selection of the most beautiful versions of psalms and excellent hymns",1358,2
"1440","T124021","A select collection of the Psalms of David, as imitated or paraphrased by the most eminent English poets",2066,3
"1441","T124116","Select Psalms and hymns, for the use of the Parish Church of Cardington, in the county of Bedford",4870,23
"1442","T124137","Select portions of Psalms and hymns",2854,7
"1443","T124193","Psalms, hymns, and anthems",1528,3
"1444","T124195","A selection of Psalms from the new version, with select hymns from various authors",1932,5
"1445","T124198","A collection of Psalms and hymns for Christian worship",2503,6
"1446","T124249","The complete English traveller",1346,2
"1447","T124259","A collection of hymns, for the use of the Protestant Church of the United Brethren",1112,3
"1448","T124263","Select psalms and hymns,for public worship",1179,6
"1449","T124423","Sermons for children",642,4
"1450","T124437","The dramatic works",194,1
"1451","T124555","A declaration of my last sentiments on the different doctrines of religion",50,1
"1452","T124607","Memoirs of a late eminent advocate, and , member of Honourable Society of Lincoln's-Inn. By William Melmoth, Esq",91,1
"1453","T124619","The history of two orphans",1282,4
"1454","T124646","The aviary",1164,1
"1455","T124648","A Collection of poems in six volumes. By several hands",91,1
"1456","T124651","A collection of select epigrams",500,1
"1457","T124707","The scribleriad",303,1
"1458","T12473","Night thoughts among the tombs, in blank verse",123,1
"1459","T124742","The pleasing instructor",174372,62
"1460","T124760","Of microscopes",1916,4
"1461","T124802","The delights of marriage",377,2
"1462","T124817","Memoirs of a younger brother",213,1
"1463","T12484","The noctuary",122,1
"1464","T124844","The arts of logick and rhetorick",1546,6
"1465","T124875","The comforts of matrimony",2787,3
"1466","T124910","The bouquet, a selection of poems from the most celebrated authors, with some originals. .",2981,1
"1467","T124952","A review of Mr. Nevin's tryal before the Synod, 1724",390,1
"1468","T125185","Miscellanies in prose and verse, on several occasions",206,1
"1469","T125191","Terraquea",1005,1
"1470","T125249","Miscellaneous poems, original and translated, by several hands",3507,2
"1471","T125266","A new, complete, and universal body, or system of natural history",149,1
"1472","T125278","Family pictures, a novel. Containing curious and interesting memoirs of several persons of fashion in W----re. By a lady. In two volumes. .",296,1
"1473","T125291","Poems on several occasions",14383,4
"1474","T125410","Psalms and hymns for divine worship, selected from the best authors",1353,4
"1475","T125415","Cato and Lælius",1321,5
"1476","T125418","Hudibras",5232,13
"1477","T125425","Verses at the last publick commencement at Cambridge",99,1
"1478","T125445","Rules and regulations for the Asylum of Penitent Females",581,1
"1479","T125491","The nonpareil",667,1
"1480","T125697","Hudibras",7517,26
"1481","T125712","The fortune-Tellers",260,2
"1482","T125781","Court and no country",52,1
"1483","T125782","Psalms and hymns for the use of the Chapel of the Asylum for Female Orphans",2474,5
"1484","T125810","Poems in three parts",281,1
"1485","T125915","Poems on several occasions",77,1
"1486","T125928","Sure and certain methods of attaining a long and healthful life",7350,3
"1487","T125932","Theron and Aspasio",1066,2
"1488","T12594","Yorick's skull",122,1
"1489","T125955","An appeal to the public",237,2
"1490","T126023","A slang pastoral",5457,7
"1491","T126057","An asylum for fugitive pieces",580,1
"1492","T126134","Poems by Charles James, Esq. containing, among others, Vanity Of Fame, Petrarch To Laura, Acontius To Cydippe, The Year 1800; ör, IT Will BE SO. Suicide",310,1
"1493","T12614","A specimen of printing types, by William Caston, letter founder, London",213,1
"1494","T126180","The reader, or reciter",7656,14
"1495","T126219","Select psalms and hymns, for the use of the parish church of St. Botolph without Aldersgate, London",1677,4
"1496","T126230","A short account of Ann Rogers",93,1
"1497","T126254","Poems, by Charles James, Author Of Hints To Lord Rawdon ON Some Military Abuses; Tarare, From Beaumarchais, &c",309,1
"1498","T126283","The greek grammar",70,1
"1499","T126285","Theron and Aspasio",1135,2
"1500","T12631","A specimen of printing types, by W. Caslon and Son, letter founders, London",233,1
"1501","T126428","The sinfulness of plays",72,1
"1502","T126476","The history of Tom Jones the foundling, in his married state",14779,89
"1503","T126541","A collection of odes",455,1
"1504","T126571","Letters on the improvement of the mind",756,2
"1505","T126575","The history of apparitions",889,2
"1506","T126614","Exercises for improvement in elocution",65678,32
"1507","T126696","Marraton and Yaratilda",5559,14
"1508","T126707","The Odyssey of Homer",137,1
"1509","T126796","The evidences of the Christian religion",133260,52
"1510","T127025","A short but particular and impartial account of the treatment of slaves in the island of Antigua, so far as came within the writer's knowledge, during a residence of eight years",457,1
"1511","T127054","The antiquities of Warwickshire",147,1
"1512","T127059","An appendix to the Psalms and hymns, used at the parish church of St. Botolph without Aldersgate",662,1
"1513","T127063","The beauties of the Spectators, Tatlers, and Guardians",706532,401
"1514","T127083","The Ladies dispensatory: or Every woman her own physician",84,1
"1515","T127179","An historical description of Westminster-Abbey, its monuments and curiosities. .",411,2
"1516","T127188","A journal of eight days journey",1888,3
"1517","T127310","A reply to the Ludlow burgess's letter to Richard Hill, Esq. Member for the county of Salop",1022,3
"1518","T127311","Domestic medicine",175,1
"1519","T127361","Hudibras",7824,26
"1520","T127391","Theatre of education",218,2
"1521","T127408","Miscellaneous pieces. Consisting of select poetry",681,1
"1522","T127474","An address to the right worshipful the batchelors of Great-Britain",133,1
"1523","T127503","The works of Soame Jenyns, Esq",156,1
"1524","T127562","Letters moral and entertaining",232,1
"1525","T127634","A compleat body of husbandry",64,1
"1526","T127678","A help to elocution",42496,9
"1527","T127786","Domestic medicine",174,1
"1528","T127851","The divine legation of Moses",708,4
"1529","T127862","A sermon preached on the opening of the new chapel of the Magdalen Asylum, in Leeson-Street, Dublin",582,1
"1530","T127871","Memoirs of the Marchioness de Louvoi",138,1
"1531","T127913","Select tales and fables with prudential maxims",2737,11
"1532","T127929","Fables of Æsop and others, translated into English. With instructive applications; and a print before each fable. By Samuel Croxall, D.D",1175,2
"1533","T128009","The greek grammar",77,1
"1534","T128069","Select tales and fables, with prudential maxims",2728,11
"1535","T128070","Democritus: or, the laughing philosopher",840,1
"1536","T128072","Modern beauties in prose and verse",5999,4
"1537","T128169","Calculations deduced from first principles, in the most familiar manner, by plain arithmetic",143,1
"1538","T128170","A volume of letters",132,1
"1539","T128178","A vindication of providence",279,1
"1540","T128187","The instructive and entertaining fables of Pilpay",400,3
"1541","T128212","A letter to Sir Robert Ladbroke",118,1
"1542","T128235","The instructive letter-writer",7901,4
"1543","T128288","The merry miscellany",290,2
"1544","T12830","Thanks-Giving sermon, for the recovery of His present Majesty King George III",896,4
"1545","T128303","The comical adventures of the late Mr. J. Spiller comedian at Epsom",1388,2
"1546","T128363","The economy of beauty",1517,8
"1547","T128366","The humourist",175,1
"1548","T128401","A second address to the free citizens, and free-holders, of the city of Dublin",628,6
"1549","T128459","A collection of psalms and hymns, extracted, revised, and published, by Henry Peckwell",692,1
"1550","T128490","The companion for the fire-side: or, winter evening's amusement",3668,7
"1551","T128504","Essays and fragments",7792,12
"1552","T128535","Dialogues in a library",202,2
"1553","T128552","The works of John Locke, Esq; in three volumes",84,1
"1554","T128581","The prose epitome",25198,11
"1555","T128582","Beautiful extracts",31033,12
"1556","T128586","The sentimental connoisseur",6980,4
"1557","T128600","The cabinet of Momus",6339,1
"1558","T128606","A collection of select pieces",115915,49
"1559","T128639","The Lilliputian library",18820,6
"1560","T128689","The modern story-teller",1399,2
"1561","T128693","The philosopher in Bristol",2397,8
"1562","T128707","Leisure hours amusements",64032,30
"1563","T128710","The British prose miscellany",14848,4
"1564","T128787","A selection of hymns, for the use of the parish church, St. Neots",1364,2
"1565","T128803","The great importance of a religious life considered",1797,4
"1566","T128829","Brett's miscellany",1755,2
"1567","T128851","The trifler",73,1
"1568","T128852","The world",402,1
"1569","T128883","The new pantheon",504,1
"1570","T128940","Joe Miller's jests: or, The wits vade-mecum",1135,3
"1571","T128964","Some thoughts concerning education",192,2
"1572","T128978","The new Royal cyclopædia",677,1
"1573","T128986","The universal spectator",1298,8
"1574","T129026","The juvenile roscius",555,1
"1575","T129028","The trifler",73,1
"1576","T129037","Essays on rhetoric",5956,29
"1577","T129068","Mental pleasures",4655,18
"1578","T129160","The ladies dispensatory",85,1
"1579","T129169","The young gentleman and lady's monitor",126112,44
"1580","T129208","An historical account of the curiosities of London and Westminster",411,2
"1581","T129229","Psalms and hymns for the use of the Chapel Royal, at Brighthelmston",6606,30
"1582","T129257","Dear variety",21503,7
"1583","T129268","The devil upon two sticks in England",83,1
"1584","T129316","The distrest mother",222,1
"1585","T129346","A short introduction to English grammar",1102,6
"1586","T129386","Poems on several occasions",14445,4
"1587","T129387","The letters of Pliny the Consul",160,2
"1588","T129420","A father's legacy to his daughters",83,1
"1589","T129430","Strictures on female education",262,1
"1590","T129445","The history of Mary Ann Edwards",6127,7
"1591","T129456","A father's legacy to his daughters",83,1
"1592","T129459","The polite preceptor",256987,106
"1593","T129553","Moral tales, essays and fables, for the instruction of youth",1659,3
"1594","T129564","Essays on rhetoric",5681,27
"1595","T129565","Essays on rhetoric",5742,28
"1596","T129634","The history of modern enthusiasm",1465,5
"1597","T129680","The lady's preceptor",62,1
"1598","T129697","The manner pointed out in which the common prayer was read in private by the Late Mr. Garrick",225,1
"1599","T129749","The moral miscellany",96502,23
"1600","T129768","The agreeable companion: a collection of polite tales and fables: in which are display'd, the most material incidents in human life",8686,6
"1601","T130076","The observer",719,4
"1602","T130081","Poems on several occasions",14494,4
"1603","T130098","The sacred theory of the earth",940,4
"1604","T130099","The dignity of human nature",593,1
"1605","T130131","The guardian. .",2153,2
"1606","T130158","Hymns for public worship: selected from various authors",2662,3
"1607","T130159","Select psalms and hymns, for the use of the parish churches in the town of Huntingdon",1355,2
"1608","T130263","Essays on education",72121,24
"1609","T130269","Élite de poésies fugitives",365,1
"1610","T130272","Letters from the late most reverend Dr. Thomas Herring",1576,6
"1611","T130298","The history of Tom White",1285,1
"1612","T130351","Letters between Theodosius and Constantia",10421,7
"1613","T130366","The beauties of English prose",65262,46
"1614","T130385","The way to the temple of true honor and fame by the paths of heroic virtue",3070,6
"1615","T130422","The friend of youth",2621,3
"1616","T130467","The Persian and the Turkish tales, compleat",559,2
"1617","T130484","Les beautés de l'histoire",727,2
"1618","T130500","The way to keep him",116,1
"1619","T130545","A survey of the ancient and present state of the Scilly Islands",119,1
"1620","T130564","Letters on the improvement of the mind",394,1
"1621","T130596","Poems by Mr. Jerningham",136,1
"1622","T130615","Observations on some passages in the publications of a citizen of Dublin, lately disfranchised in a letter from Hypodidascalus to the Right Honorable B. Lord Yelverton",140,1
"1623","T130688","The curiosities of Paris",210,2
"1624","T130692","A collection of epigrams",2415,9
"1625","T130696","The muse in a moral humour",162,2
"1626","T130743","The history of ancient Europe",1165,2
"1627","T130781","Rules and regulations of the Maritime School, on the Banks of the Thames, near London",399,1
"1628","T1308","A plain system of geography",647,1
"1629","T130839","An essay on Mr. Pope's Odyssey",449,2
"1630","T130858","A journal of eight days journey",1874,3
"1631","T130887","The happy orphans",130,1
"1632","T130926","An astronomical diary",295,3
"1633","T130928","Elegant epistles: or, a copious collection of familiar and amusing letters",343,1
"1634","T130933","Elegant epistles: or, a copious collection of familiar and amusing letters",1660,3
"1635","T130934","The history of Portia",1474,12
"1636","T130937","Elegant extracts: or, Useful and entertaining passages in prose",59579,17
"1637","T130938","Elegant extracts: or, useful and entertaining passages in prose",42296,13
"1638","T130941","Models of letters",105,1
"1639","T130944","An epistle to a friend",294,1
"1640","T131056","An essay on the composition and manner of writing of the antients",981,3
"1641","T131121","The moral miscellany",114354,29
"1642","T131229","English grammar",1234,8
"1643","T131335","The craftsman. By Caleb D'anvers, of Gray's-Inn, Esq",7413,11
"1644","T131495","The moral system of Moses",1096,2
"1645","T131512","Chinese tales",9928,4
"1646","T131564","The nunnery for coquettes",42532,28
"1647","T131581","Letters on the most common, as well as important occasions in life",7519,3
"1648","T131583","A new treatise on the art of grafting and inoculation",711,6
"1649","T131586","A new moral system of geography",694,1
"1650","T131605","Imitation of the fourth satyre of Boileau",157,1
"1651","T131800","Poematia",1918,6
"1652","T131860","The pantheon",506,1
"1653","T131901","Self-Knowledge",1544,2
"1654","T131979","Roman conversations",1998,4
"1655","T132014","The danger of the church and kingdom from foreigners; consider'd",1211,7
"1656","T132015","The wonderful story teller",10673,3
"1657","T132082","Nouveau recueil de pieces choisies des meilleurs auteurs françois",94,1
"1658","T132097","Travels through Cyprus, Syria, and Palestine",227,2
"1659","T132111","The modern universal story-teller",10675,3
"1660","T132168","The Christian's consolations against the fears of death",24732,30
"1661","T132173","The statistical account of Scotland",53,1
"1662","T132233","A short treatise upon arts and sciences, in French and English, by question and answer",905,2
"1663","T132319","Allegories and visions, for the entertainment and instruction of younger minds",36992,7
"1664","T132343","The pleasing instructor",127303,40
"1665","T132346","Poematia",2432,7
"1666","T132348","Poems by Charles James, .",310,1
"1667","T132352","Poems by Mr. Thomas Blacklock. To which is prefix'd, an account of the life, character, and writings, of the author, by the Reverend Mr. Spence, late Professor of Poetry, at Oxford",175,1
"1668","T132359","Poems, on various subjects",120,1
"1669","T132363","Poésies",287,2
"1670","T132375","The letters of Pliny the consul",160,2
"1671","T132452","Phedon",313,1
"1672","T132490","Literary amusements",157,1
"1673","T13268","The new and complete British letter-writer",829,3
"1674","T132714","The British grammar",3326,3
"1675","T132716","A new universal French grammar",365,1
"1676","T132720","The letters of Pliny the consul",160,2
"1677","T13276","Letters supposed to have been written by Yorick and Eliza",112,1
"1678","T132838","Essays on various subjects",166,1
"1679","T132846","Paradise lost",242372,408
"1680","T132884","Future rewards and punishments believed by the ancients",465,3
"1681","T132885","Future rewards and punishments believed by the ancients",462,3
"1682","T132981","Paradise lost",30662,80
"1683","T133025","A short introduction to English grammar",1075,6
"1684","T133028","A short introduction to English grammar",1274,8
"1685","T133029","A short introduction to English grammar",1115,6
"1686","T133030","A short introduction to English grammar",849,5
"1687","T133034","The palladium-Supplement, enlarged",124,1
"1688","T133104","The divine legation of Moses demonstrated",992,8
"1689","T133149","The Psalms of David",749,1
"1690","T133159","Reflections arising from the immorality of the present age: In which some self-evident Facts are pointed at, which seem to call for a more immediate Redress, than any other Article in our Policy, either at Home or Abroad",178,1
"1691","T133169","The repository",188,1
"1692","T133245","A new abridgment of the rules of French prosodia",388,1
"1693","T133357","The royal English dictionary",400,1
"1694","T133372","A dissertation on the Phædon of Plato",3061,5
"1695","T133422","An essay on the origin of evil",6100,7
"1696","T133432","An essay on the origin of evil",6101,8
"1697","T133474","The Odyssey of Homer",137,1
"1698","T133478","Theron and Aspasio",1146,3
"1699","T133525","The virgin in Eden",3675,21
"1700","T133607","A new and general biographical dictionary",2863,5
"1701","T133650","Select lessons in prose and verse, from various authors",17240,22
"1702","T133658","Hobbinol, or the rural games",408,2
"1703","T133675","The Odyssey of Homer",216,2
"1704","T133702","A short introduction to English grammar",1321,7
"1705","T133732","Criticisms on the Rolliad. Part the second",100,1
"1706","T133733","Criticisms on the Rolliad. Part the first",184,2
"1707","T133735","Criticisms on the Rolliad. Part the first",184,2
"1708","T133737","Criticisms on the Rolliad. Part the first",184,2
"1709","T133790","The delivery of Jerusalem",142,2
"1710","T133819","Ancient Scotish poems",341,1
"1711","T133834","Plutus",2626,1
"1712","T133871","The virgin in Eden",3635,21
"1713","T133893","Paradise lost",258044,418
"1714","T133901","Paradise lost",250830,398
"1715","T133909","Paradise lost",222490,386
"1716","T133912","Paradise lost",232306,428
"1717","T133928","Milton's Paradise lost",137772,360
"1718","T133934","Paradise lost",251936,388
"1719","T133935","Paradise lost",1546,6
"1720","T133942","Paradise lost",229784,332
"1721","T133945","Milton's Paradise lost",124,2
"1722","T133993","Sermons to young men",18606,46
"1723","T134145","The dublin Society's weekly observations for the advancement of agriculture and manufactures",1437,2
"1724","T134146","The Dublin Society's weekly observations for the advancement of agriculture and manufactures",1149,1
"1725","T134193","A practical introduction to English grammar and rhetoric",454,2
"1726","T134216","Paradise regain'd",627,3
"1727","T134222","Paradise regain'd",767,2
"1728","T134236","Paradise regain'd",729,2
"1729","T134237","Paradise regain'd",634,3
"1730","T134240","Paradise regain'd",650,4
"1731","T134268","The great duty of contentment, and resignation to the will of God, recommended",1236,3
"1732","T134304","The invisibe [sic] spy",62,1
"1733","T134310","The invisible spy",62,1
"1734","T134440","Select portions of Dr. Brady's and Mr. Tate's version of the Psalms",1356,2
"1735","T134466","An essay on the origin of evil",6091,9
"1736","T134473","The Lucubrations of Isaac Bickerstaff Esq; revised and corrected by the author",75,1
"1737","T134482","Ulysses",146,1
"1738","T134525","A free inquiry into the nature and origin of evil",133,1
"1739","T134536","Letters on the improvement of the mind",762,2
"1740","T134566","The syntax of the French tongue reduced to practice",5244,11
"1741","T134571","A treatise of the materia medica",77,1
"1742","T134603","Notes upon the twelve books of Paradise lost",313236,78
"1743","T134604","The poetical works",309308,74
"1744","T134619","Milton's Paradise lost",1022,6
"1745","T134621","The poetical works",277626,96
"1746","T134624","Paradise lost",14738,46
"1747","T134628","The poetical works",3782,4
"1748","T134632","Paradise regained",168,2
"1749","T134686","Essays on the history of mankind",411,1
"1750","T134687","Essays on the history of mankind in rude and cultivated ages. By James Dunbar, LL.D. professor of philosophy in the King's College and University of Aberdeen",420,1
"1751","T134694","The elements of logick",126,1
"1752","T134696","The elements of logick",187,2
"1753","T134697","The elements of logick",187,2
"1754","T134698","The elements of logick",187,2
"1755","T134718","Letters, by several eminent persons deceased",1473,4
"1756","T134767","Short remarks on Dr. Perry's Analysis",281,1
"1757","T134850","British education",4052,5
"1758","T134897","The rule of life",1798,9
"1759","T134902","The rule of life",1818,9
"1760","T13491","The paradise of taste",511,3
"1761","T135036","The bee reviv'd",57958,25
"1762","T13509","Letters on chivalry and romance",803,4
"1763","T135111","The world",396,1
"1764","T135146","An elegy by a son, on the loss of a mother",144,1
"1765","T135244","The new and complete universal letter-writer",843,3
"1766","T135314","Théatre et oeuvres diverses",444,1
"1767","T135328","A practical treatise on stone-cutting",117,1
"1768","T135359","The accidence; or first rudiments of English grammar",612,4
"1769","T135361","The accidence; or first rudiments of English grammar",521,3
"1770","T135364","The accidence; or first rudiments of English grammar",513,3
"1771","T135365","Miscellaneous lessons",490,1
"1772","T135371","An essay on the general method of treating cancerous tumors",385,1
"1773","T135385","Miscellanies in prose and verse, mostly written in the epistolary style: chiefly upon moral subjects, and particularly calculated for the improvement of younger minds. By Mrs. M. Deverell, Gloucestershire. .",870,2
"1774","T135435","The spirit of the public journals for 1799",1110,4
"1775","T135455","A select collection of psalms and hymns",1381,4
"1776","T135469","Paradise lost",2992,12
"1777","T135470","Paradise lost",1604,6
"1778","T135610","The grand question debated; or an essay to prove that the soul of man is not, neither can it be, immortal. The Whole founded on the Arguments of Locke, Newton, Pope, Burnet, Watts, &c. By Ontologos",269,2
"1779","T135621","Miscellaneous sentences in prose and verse",10871,54
"1780","T135694","The indictment, trial, and sentence of Mess. T----s K----r, A----w B----n, and R----t M----n",397,2
"1781","T135783","Original letters",546,3
"1782","T135869","A short introduction to English grammar",975,5
"1783","T135939","The plain dealer: being select essays on several curious subjects",4489,11
